Reference	LeftContext	Pivot	RightContext
1_m00064-plain	-es decir, producidos por factores «psicológicos -. Por su	parte_NC_parte,_CM_, la_ART_el adicción_NC_adicción era_VSfin_ser considerada_VLadj_considerar como_CSUBX_como una_ART_un falta_NC_falta de_PREP_de voluntad_NC_voluntad	, provocada por situaciones de desesperación, una sociedad permisiva y (
1_m00324-plain	de la vida bacteriana contiene otro elemento clave de nuestra historia.	Los_ART_el plásmidos_NC_plásmidos bacterianos_ADJ_bacteriano son_VSfin_ser usados_VLadj_usar como_CSUBX_como moléculas_NC_molécula de_PREP_de ADN_NP_ADN	en las que otros fragmentos de ADN recortados por un enzima de
1_m00324-plain	las moléculas de lactosa (el azúcar de la leche).	Los_ART_el productos_NC_producto de_PREP_de esta_DM_este descomposición_NC_descomposición son_VSfin_ser usados_VLadj_usar como_CSUBX_como fuente_NC_fuente de_PREP_de nutrición_NC_nutrición	por la bacteria. Entre otras conclusiones, hallaron que para que
1_m00324-plain	muy populares, conocidos como la serie pBR. Cuando se crean	plásmidos_NC_plásmidos para_CSUBI_para ser_VSinf_ser usados_VLadj_usar como_CSUBX_como vectores_NC_vector de_PREP_de clonación_NC_clonación	, varias características son deseables. Una es la capacidad del plásmido
1_m00344-plain	No había ninguna explicación clara. Las bases nitrogenadas, con sus	cantidades_NC_cantidad relativas_ADJ_relativo acordes_ADJ_acorde a_PREP_a lo_ART_el que_CQUE_que fue_VSfin_ser conocido_VLadj_conocer como_CSUBX_como las_ART_el reglas_NC_regla de_PREP_de Chargaff_NP_Chargaff	, se sabía que estaban asociadas a una larga cadena de grupos
1_m00545-plain	Esto hace que muchas áreas fascinantes queden sin ser cubiertas, como	la_ART_el idea_NC_idea de_PREP_de que_CQUE_que el_ART_el RNA_NP_RNA fuera_VSfin_ser utilizado_VLadj_utilizar como_CSUBX_como la_ART_el molécula_NC_molécula de_PREP_de información_NC_información	primaria antes de ser sustituido por el DNA, o que el
1_m00731-plain	notar que no todos los 65, 000 a 80, 000	genes_NC_gen|genes humanos_ADJ_humano serán_VSfin_ser identificados_VLadj_identificar como_CSUBX_como genes_NC_gen|genes de_PREP_de enfermedades_NC_enfermedad	. Algunos genes son indispensables para la función embrionaria, de forma
1_m00731-plain	partir de esta información se preparó un oligonucleótido parcialmente degenerado de 45	bp_NC_bp,_CM_, que_CQUE_que fue_VSfin_ser utilizado_VLadj_utilizar como_CSUBX_como sonda_NC_sonda de_PREP_de hibridación_NC_hibridación	primaria para el cribado de una biblioteca de DNA genómico porcino.
1_m00731-plain	células del sistema inmunitario, y constituyen una forma de vacunación.	Los_ART_el genes_NC_gen|genes humanos_ADJ_humano clonados_VLadj_clonar pueden_VMfin_poder ser_VSinf_ser utilizados_VLadj_utilizar como_CSUBX_como fuente_NC_fuente de_PREP_de productos_NC_producto	de importancia médica Una vez que se ha clonado un gen humano
