id,pret,an,relational_semantic_type,Alarcon,source,fr_pattern,sp_pattern,patrons amplifiés,catégorie gramaticaux selon Lef,denotación gramatical variables,original_variables,extended_variables,changes,amp_gram,amp_dicc,alarcon,FALSE,traduction_source,min_elements_number,CQL_query,exemple francais,espagnol traduction,exemple-old,comment,main_element,type_element,first try,query,,
H09,TRUE,,hyp_appositif,,1,"DET Y, DET défini X DET défini {plus/moins} Adj","DET Y, DET definido X {más/menos} Adj","DET Y, DET definido X {más/menos} Adj",,,más/menos,,NO,FALSE,FALSE,FALSE,FALSE,,9,,"La Lune est surtout constituée de basalte, la lave la plus commune sur Terre.",,,,"CM, PREP",tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""], [spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] {más|menos} Adj","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishpos=""CM""] [spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishlemma=""más|menos""] [spanishpos=""ADJ""]",,
H10,TRUE,,hyp_appositif,,1,"DET Y, DET défini {plus/moins} Adj {des/de tous les} X","DET Y, DET definido {más/menos} Adj {de los/de las/de todos los/de todas las} X","DET Y, DET definido {más/menos} Adj {de los/de las/de todos los/de todas las} X",,,"más/menos, de los/de las/de todos los/de todas las",,NO,FALSE,FALSE,FALSE,FALSE,,10,,,,,,"CM, PREP",tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""], [spanishpos=""ART""] {más|menos} Adj {de los|de las|de todos los|de todas las} [spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishpos=""CM""] [spanishpos=""ART""]?[spanishlemma=""más|menos""] [spanishpos=""ADJ""][spanishlemma=""de""][spanishlemma=""todo""]?[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishpos=""CM""] [spanishpos=""ART""]?[spanishlemma=""más|menos""] [spanishpos=""ADJ""][spanishlemma=""de""][spanishlemma=""todo""]?[spanishpos=""ART""]?[spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{1,5}","DET Y, DET definido {más/menos} Adj {de los/de las/de todos los/de todas las} X"
H11,TRUE,,hyp_appositif,,1,"DET X, {notamment/en particulier/(tout) spécialement/(tout) particulièrement/surtout/avant tout} (DET) Y","DET X, {especialmente/particularmente/sobre todo/ante todo/en especial/en particular} (DET) Y","DET X, {especialmente/particularmente/sobre todo/ante todo/en especial/en particular/concretamente/en concreto/principalmente} (DET) Y",,adverbes d'inclusion,especialmente/particularmente/sobre todo/ante todo,['especialmente/particularmente/sobre todo/ante todo/en especial/en particular/concretamente/en concreto/principalmente'],DICT,FALSE,TRUE,FALSE,FALSE,,9,,,,,,"CM, PREP",tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""], {especialmente|particularmente|sobre todo|ante todo|en especial|en particular|concretamente|en concreto|principalmente} ([spanishpos=""ART""]) [spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[]? [spanishpos=""CM""] ([spanishlemma=""en""][spanishlemma=""particular|concreto|especial""]|[spanishlemma=""ante|sobre""][spanishlemma=""todo""]|[spanishlemma=""todo""]?[spanishlemma=""especialmente|particularmente|concretamente|principalmente""])[]?[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]?[spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{1,5} [spanishpos=""ADJ""]?[]{0,1}[spanishpos=""FS|DOTS|DASH|LP|RP|SLASH|COLON|SEMICOLON|BACKSLASH|CM"" & spanishlemma=""\(""]?([spanishlemma=""en""][spanishlemma=""particular""]|[spanishlemma=""ante""][spanishlemma=""todo""]|[spanishlemma=""todo""]?[spanishlemma=""especialmente|particularmente|concretamente|principalmente""])[spanishpos=""ART""]?[spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{2,5} ","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos=""ADJ""]?[]{0,1}[spanishpos=""FS|DOTS|DASH|LP|RP|SLASH|COLON|SEMICOLON|BACKSLASH|CM"" & spanishlemma=""\(""]([spanishlemma=""en""][spanishlemma=""particular|concreto|especial""]|[spanishlemma=""ante|sobre""][spanishlemma=""todo""]|[spanishlemma=""todo""]?[spanishlemma=""especialmente|particularmente|concretamente|principalmente""])[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""]"
H12,TRUE,,hyp_appositif,,,"DET défini {plus/moins} Adj {des/de tous les} X, {soit/c’est-à-dire/à savoir} DET défini Y",,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,"la plus dangereuse de toutes les araignées, c’est-à-dire la mygale…","la más peligrosa de todas las arañas, es decir la tarántula…",,,"CM, PREP",tag,nan,"[spanishpos=""ART""]?[spanishlemma=""más|menos""] [spanishpos=""ADJ""]([spanishlemma=""de""][spanishlemma=""todo""]?[spanishpos=""ART""]?)[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[]?([word=""es""][word=""decir""]|[word=""a""][word=""saber""]|[word=""o""][word=""sea""]|[word=""en""][spanishlemma=""otro""][spanishlemma=""palabra""])[]?[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""]",,
H13,TRUE,,hyp_appositif,,1,DET X ( {notamment/en particulier/(tout) spécialement/(tout) particulièrement/surtout/avant tout} (DET) Y ),DET X ( {en particular/especialmente/particularmente/sobre todo/ante todo} (DET) Y ),DET X ( {especialmente/particularmente/sobre todo/ante todo/en especialconcretamente/en concreto/principalmente} (DET) Y ),,adverbes d'inclusion,especialmente/particularmente/sobre todo/ante todo,['especialmente/particularmente/sobre todo/ante todo/en especial/en particular/concretamente/en concreto/principalmente'],DICT,FALSE,TRUE,FALSE,FALSE,,11,,"Ses inconvénients (notamment fatigue, nausées, chute temporaire des cheveux), dépendent de la nature des produits utilisés",,,,LP,tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] ( {especialmente|particularmente|sobre todo|ante todo|en especialconcretamente|en concreto|principalmente} ([spanishpos=""ART""]) [spanishpos=""NC|NMON|NMEA|NP""] )","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishpos=""LP""]([spanishlemma=""en""][spanishlemma=""particular|concreto|especial""]|[spanishlemma=""ante|sobre""][spanishlemma=""todo""]|[spanishlemma=""todo""]?[spanishlemma=""especialmente|particularmente|concretamente|principalmente""])[]?[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""]",,
H14,TRUE,,hyp_appositif,,1,"DET X, (DET) Y {notamment/en particulier/(tout) spécialement/(tout) particulièrement/surtout/avant tout}","DET X, (DET) Y {en particular/especialmente/particularmente/sobre todo/ante todo}","DET X, (DET) Y {especialmente/particularmente/sobre todo/ante todo/en especialconcretamente/en concreto/principalmente}",,adverbes d'inclusion,especialmente/particularmente/sobre todo/ante todo,['especialmente/particularmente/sobre todo/ante todo/en especial/en particular/concretamente/en concreto/principalmente'],DICT,FALSE,TRUE,FALSE,FALSE,,9,,,,,,CM,tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""], ([spanishpos=""ART""]) [spanishpos=""NC|NMON|NMEA|NP""] {especialmente|particularmente|sobre todo|ante todo|en especialconcretamente|en concreto|principalmente}","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishpos=""CM""][spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}([spanishlemma=""en""][spanishlemma=""particular|concreto|especial""]|[spanishlemma=""ante|sobre""][spanishlemma=""todo""]|[spanishlemma=""todo""]?[spanishlemma=""especialmente|particularmente|concretamente|principalmente""])","DET X, (DET) Y {en particular/especialmente/particularmente/sobre todo/ante todo}",
H15,TRUE,,hyp_appositif,,1,"DET X, {y compris/ tout en comptant/en tenant compte de} (DET) Y","DET X, {incluido/teniendo en cuenta} (DET) Y","DET X, {incluido/teniendo en cuenta/incluso/inclusive/incluyendo/hasta/tomando en consideración} (DET) Y",,,incluido/teniendo en cuenta,['incluido/teniendo en cuenta/incluso/inclusive/incluyendo/hasta/tomando en consideración'],2,TRUE,TRUE,FALSE,FALSE,,12,,,,,"""hasta"" es también un adverbio de inclusón (RAE, p,763)",CM,tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""], {incluido|teniendo en cuenta|incluso|inclusive|incluyendo|hasta|tomando en consideración} ([spanishpos=""ART""]) [spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishpos=""CM""]([word=""incluid.*|incluyendo|hasta|incluso|inclusive""]|[word=""tomando|teniendo""][spanishlemma=""en""][spanishlemma=""consideración|cuenta""])[]?[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""]",,
H16,TRUE,,hyp_appositif,,1,"DET X, {hormis/ sauf/exception faite/à l’exception de/excepté} DET Y","DET X, {excepto/salvo/a excepcion de/exceptuado} DET Y","DET X, {excepto/salvo/a excepcion de/exceptuado/menos/a parte de/con excepción de/con exclusión de/descontando} DET Y",,,excepto/salvo/a excepcion de/exceptuado,['excepto/salvo/a excepcion de/exceptuado/menos/a parte de/con excepción de/con exclusión de/descontando'],DICT,FALSE,TRUE,FALSE,FALSE,,9,,,,,,CM,tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""], {excepto|salvo|a excepcion de|exceptuado|menos|a parte de|con excepción de|con exclusión de|descontando} [spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishpos=""CM""]([word=""excepto|salvo|exceptua.*|menos|desconta.*""]|[spanishlemma=""a|con""][spanishlemma=""excepción|exclusión""][spanishlemma=""de""])[]?[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""]",,
H17,TRUE,,hyp_appositif,,,DET X ((DET) Y),DET X ((DET) Y),DET X ((DET) Y),,,,,NO,FALSE,FALSE,FALSE,FALSE,,4,,,,,,LP,tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] (([spanishpos=""ART""]) [spanishpos=""NC|NMON|NMEA|NP""])","[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishpos=""LP""][spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5}[spanishpos=""RP""]",,
H18,TRUE,,hyp_d'inclusion,,1,{DET défini/différents/plusieurs/de nombreux/divers/quelques/un certain nombre de/un grand nombre de/beaucoup de} X {notamment/en particulier/(tout) spécialement/(tout) particulièrement/surtout/avant tout} DET Y,{DET definido/diferentes/muchos/varios/diversos/algunos/un gran número de} X {en particular/especialmente/particularmente/mayoritariamente/antes que todo} DET Y,{DET definido/diferentes/muchos/varios/diversos/algunos/un gran número de/distintos/multiples/montones de/numerosos} X {especialmente/particularmente/sobre todo/ante todo/en especial/en particular/concretamente/en concreto/principalmente} DET Y,,"adjectifs quantificateurs, adverbes d'inclusion","DET definido/diferentes/muchos/varios/diversos/algunos/un número de/un gran número de, en particular/especialmente/particularmente/sobre todo/ante todo","['DET definido/diferentes/muchos/varios/diversos/algunos/un gran número de/distintos/multiples/montones de/numerosos', 'especialmente/particularmente/sobre todo/ante todo/en especial/en particular/concretamente/en concreto/principalmente']",GRAM,TRUE,FALSE,FALSE,FALSE,,18,,Un traitement hormonal a pour but de neutraliser l'activité de certaines hormones notamment les œstrogènes chez la femme,,,"""adjectifs quantificateurs"" RAE p.250","CM, PREP",tag,"{[spanishpos=""ART""]|diferentes|muchos|varios|diversos|algunos|un gran número de|distintos|multiples|montones de|numerosos} [spanishpos=""NC|NMON|NMEA|NP""] {especialmente|particularmente|sobre todo|ante todo|en especial|en particular|concretamente|en concreto|principalmente} [spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""]","([spanishpos=""ART""]|[spanishlemma=""diferente|mucho|vario|diverso|alguno|distinto|multiple|numeroso""]|[spanishlemma=""un""][spanishlemma=""gran""][spanishlemma=""número""][spanishlemma=""de""]|[spanishlemma=""montón""][spanishlemma=""de""])[spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} []?([spanishlemma=""en""][spanishlemma=""particular|concreto|especial""]|[spanishlemma=""ante|sobre""][spanishlemma=""todo""]|[spanishlemma=""todo""]?[spanishlemma=""especialmente|particularmente|concretamente|principalmente""])[]?[spanishpos=""ART""]?[spanishpos=""NC|NMON|NMEA|NP""]",,
