Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
consumo	203	45.04	consumo	Nom
precio de cierre	12	44.85	precio de cierre	Nom Préposition Nom
velocidad de convergencia	12	44.85	velocidad de convergencia	Nom Préposition Nom
tasa de descuento	12	44.85	tasa de descuento	Nom Préposition Nom
liquidación por método alternativo	12	44.85	liquidación por métodos alternativos	Nom Préposition Nom Adjectif
costo de uso	12	44.85	costo de uso	Nom Préposition Nom
opción mensual correspondiente	12	44.85	opción mensual correspondiente___opciones mensuales correspondientes	Nom Adjectif Adjectif
ingreso bajo	17	44.47	ingreso bajo	Nom Adjectif
neto	76	43.67	neto___netos___netas	Adjectif
tasa de rendimiento	12	43.07	tasa de rendimiento___tasas de rendimiento	Nom Préposition Nom
sector formal	12	43.07	sector formal	Nom Adjectif
cupón	14	42.92	cupón___cupones	Nom
tipo de interés	82	42.83	tipo de interés___tipos de interés	Nom Préposition Nom
derivados de renta fijo	11	42.77	derivados de renta fija	Nom Préposition Nom Adjectif
límite de fluctuación	11	42.77	límite de fluctuación___límites de fluctuación	Nom Préposition Nom
simulen	11	42.77	simulen	Verbe
fecha valor	11	42.77	fecha valor	Nom Nom
cálculo completo	11	42.77	cálculo completo	Nom Adjectif
condición de transversalidad	11	42.77	condición de transversalidad___condiciones de transversalidad	Nom Préposition Nom
modelo de valoración	11	42.77	modelo de valoración	Nom Préposition Nom
función de demanda	11	42.77	función de demanda	Nom Préposition Nom
quienes	11	42.77	quienes	Nom
costo marginal	11	42.77	costo marginal	Nom Adjectif
fecha de liquidación	11	42.77	fecha de liquidación	Nom Préposition Nom
cálculo de garantía	11	42.77	cálculo de garantías	Nom Préposition Nom
producto marginal	11	42.77	producto marginal___productos marginales	Nom Adjectif
forma de cotización	11	42.77	forma de cotización___formas de cotización	Nom Préposition Nom
mes de vencimiento	11	42.77	mes de vencimiento	Nom Préposition Nom
renta fijo	15	42.65	renta fija	Nom Adjectif
factor	185	42.21	factor___factores	Nom
variable	35	42.17	variable___variables	Nom
contrato	150	41.94	contrato___contratos	Nom
factor de producción	24	41.37	factor de producción___factores de producción	Nom Préposition Nom
cápita	50	41.29	cápita	Nom
clase de miembro	11	40.93	clase de miembro	Nom Préposition Nom
parámetro necesario	11	40.93	parámetros necesarios	Nom Adjectif
futuros	11	40.93	futuros	Nom
término del reglamento	11	40.93	términos del reglamento	Nom Préposition Nom
índice de precio	13	40.89	índice de precios	Nom Préposition Nom
equipo productor	10	40.59	equipo productor	Nom Adjectif
bien final	10	40.59	bienes finales	Nom Adjectif
miembro liquidadores	10	40.59	miembros liquidadores	Nom Nom
relación de valor	10	40.59	relación de valores	Nom Préposition Nom
precio de demanda	10	40.59	precio de demanda	Nom Préposition Nom
vencimiento meff	10	40.59	vencimiento meff	Nom Nom
supondremos	10	40.59	supondremos	Verbe
ahorro	117	40.58	ahorro___ahorros	Nom
monto	30	40.41	monto	Nom
progreso técnico	30	40.19	progreso técnico	Nom Adjectif
capítulo anterior	12	40.06	capítulo anterior___capítulos anteriores	Nom Adjectif
mercado de inversión	11	39.3	mercado de inversión___mercados de inversión___mercados de inversiones	Nom Préposition Nom
oriente	11	39.3	oriente	Adjectif
comunidad en conjunto	11	39.3	comunidad en conjunto	Nom Préposition Nom
característica del contrato	11	39.3	características del contrato	Nom Préposition Nom
auge	30	38.94	auge	Nom
ritmo de integración	12	38.77	ritmo de integración	Nom Préposition Nom
familia productor	10	38.67	familias productoras	Nom Adjectif
función de demanda global	9	38.28	función de demanda global	Nom Préposition Nom Adjectif
costo primo	9	38.28	costo primo	Nom Adjectif
diez años	9	38.28	diez años	Nom Adjectif
redondeará	9	38.28	redondeará	Verbe
